timestamp,loop_idx,est_x,est_y,meas_x,meas_y,goal_x,goal_y,goal_label,calibration_offset_deg,px_per_speed_per_sec,last_command_heading_deg,last_command_speed,dist_to_goal,dist_to_center,prediction_error_px,ball_found,target_found,safety_active,stuck_frames,meas_vx,meas_vy,est_vx,est_vy
2025-11-28T16:37:33.133615,1,310.0,280.0,310,280,320,240,CENTER,190.13385927226483,2.048159777618439,183.90238419566165,5.0,41.23105625617661,41.23105625617661,0.0,1,0,0,1,0.0,0.0,0.0,0.0
2025-11-28T16:37:33.819326,2,313.6,281.2,316,282,320,240,CENTER,190.13385927226483,2.048159777618439,178.6958853956442,5.0,41.69412428628282,41.69412428628282,2.5298221281346853,1,0,0,0,12.626143916771024,4.2087146389236745,12.626143916771024,4.2087146389236745
2025-11-28T16:37:34.258491,3,316.24,281.68,318,282,320,240,CENTER,190.13385927226483,2.048159777618439,175.02090485848137,5.0,41.84925327888182,41.84925327888182,1.7888543819998217,1,0,0,0,3.0414014667136064,0.0,3.0414014667136064,0.0
2025-11-28T16:37:34.754144,4,319.096,281.272,321,281,320,240,CENTER,190.13385927226483,2.048159777618439,171.12091645731488,5.0,41.2818991811181,41.2818991811181,1.9233304448274045,1,0,0,0,6.8467626877934915,-2.282254229264497,6.8467626877934915,-2.282254229264497
2025-11-28T16:37:35.198901,5,321.4384,281.1088,323,281,320,240,CENTER,190.13385927226483,2.048159777618439,167.8621746539435,5.0,41.133957164367224,41.133957164367224,1.5653855755052777,1,0,0,0,4.018845235848107,0.0,4.018845235848107,0.0
2025-11-28T16:37:35.652783,6,321.77536,280.44352,322,280,320,240,CENTER,190.13385927226483,2.048159777618439,167.35262625087478,5.0,40.482467972197526,40.482467972197526,0.4971650832469941,1,0,0,1,-2.24842008207157,-2.24842008207157,-2.24842008207157,-2.24842008207157
2025-11-28T16:37:36.099463,7,321.91014399999995,278.97740799999997,322,278,320,240,CENTER,190.13385927226483,2.048159777618439,167.0605231392446,5.0,39.024184610305404,39.024184610305404,0.981529673112305,1,0,0,2,0.0,-4.406443404839172,0.0,-4.406443404839172
2025-11-28T16:37:36.564771,8,321.36405759999997,277.79096319999996,321,277,320,240,CENTER,190.13385927226483,2.048159777618439,167.79895792881274,5.0,37.8155728863106,37.8155728863106,0.8707242501917125,1,0,0,3,-2.243794037418465,-2.243794037418465,-2.243794037418465,-2.243794037418465
2025-11-28T16:37:37.122867,9,320.54562304,276.11638528,320,275,320,240,CENTER,190.13385927226483,2.048159777618439,169.00061891106134,5.0,36.12050650524128,36.12050650524128,1.242586252611654,1,0,0,4,-2.1441101565383462,-4.2882203130766925,-2.1441101565383462,-4.2882203130766925
2025-11-28T16:37:37.453399,10,319.618249216,274.246554112,319,273,320,240,CENTER,190.13385927226483,2.048159777618439,169.00061891106134,0.0,34.24868175867839,34.24868175867839,1.3914486146562262,1,0,0,0,-1.7920646429567864,-3.5841292859135727,-1.7920646429567864,-3.5841292859135727
2025-11-28T16:37:37.839850,11,317.4472996864,272.2986216448,316,271,320,240,CENTER,190.13385927226483,2.048159777618439,169.00061891106134,0.0,32.39934010199893,32.39934010199893,1.9445036792448152,1,0,0,0,-9.103776397012222,-6.069184264674814,-9.103776397012222,-6.069184264674814
2025-11-28T16:37:38.304432,12,315.97891987456,268.51944865792,315,266,320,240,CENTER,190.13385927226483,2.048159777618439,169.00061891106134,0.0,28.801528381788074,28.801528381788074,2.7029438878200027,1,0,0,0,-2.5888144656960654,-12.944072328480326,-2.5888144656960654,-12.944072328480326
2025-11-28T16:37:38.799349,13,314.791567949824,264.007779463168,314,261,320,240,CENTER,190.13385927226483,2.048159777618439,169.00061891106134,0.0,24.566262214130404,24.566262214130404,3.11019567201868,1,0,0,0,-2.1504123375707844,-10.752061687853923,-2.1504123375707844,-10.752061687853923
2025-11-28T16:37:39.294725,14,313.71662717992956,260.4031117852672,313,258,320,240,CENTER,190.13385927226483,2.048159777618439,169.00061891106134,0.0,21.348717631701177,21.348717631701177,2.5076883314127842,1,0,0,0,-2.0234010549481933,-6.07020316484458,-2.0234010549481933,-6.07020316484458
2025-11-28T16:37:39.728750,15,312.0866508719718,257.76124471410685,311,256,320,240,CENTER,190.13385927226483,2.048159777618439,169.00061891106134,0.0,19.444354147578494,19.444354147578494,2.0694910148455405,1,0,0,0,-4.033830168246806,-4.033830168246806,-4.033830168246806,-4.033830168246806
2025-11-28T16:37:40.077623,16,311.4346603487887,255.50449788564276,311,254,320,240,CENTER,190.13385927226483,2.048159777618439,169.00061891106134,0.0,17.71311655317926,17.71311655317926,1.5660279393142007,1,0,0,0,0.0,-4.608059344514263,0.0,-4.608059344514263
2025-11-28T16:37:40.434701,17,311.1738641395155,254.0017991542571,311,253,320,240,CENTER,190.13385927226483,2.048159777618439,169.00061891106134,0.0,16.55146681668683,16.55146681668683,1.0167744511344223,1,0,0,0,0.0,-2.8582164359384103,0.0,-2.8582164359384103
2025-11-28T16:37:40.782997,18,311.0695456558062,254.00071966170285,311,254,320,240,CENTER,190.13385927226483,2.048159777618439,169.00061891106134,0.0,16.606419416578703,16.606419416578703,0.06954937925304742,1,0,0,0,0.0,2.808332792106706,0.0,2.808332792106706
2025-11-28T16:37:41.124862,19,310.4278182623225,254.00028786468116,310,254,320,240,CENTER,190.13385927226483,2.048159777618439,169.00061891106134,0.0,16.95979727216883,16.95979727216883,0.4278183591697637,1,0,0,0,-2.8711177860179715,0.0,-2.8711177860179715,0.0
