timestamp,loop_idx,est_x,est_y,meas_x,meas_y,goal_x,goal_y,goal_label,calibration_offset_deg,px_per_speed_per_sec,last_command_heading_deg,last_command_speed,dist_to_goal,dist_to_center,prediction_error_px,ball_found,target_found,safety_active,stuck_frames,meas_vx,meas_vy,est_vx,est_vy,calib_belief_ok,calib_belief_drift,calib_belief_bad,calib_obs,calib_action,vis_belief_visible,vis_belief_occluded,vis_belief_gone,vis_obs,vis_action
2025-11-28T20:51:22.163164,1,359.0,229.0,359,229,320,240,CENTER,190.03158218545212,2.2834234469132797,nan,0.0,40.52159917870962,40.52159917870962,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.9486166007905138,0.04743083003952574,0.003952569169960489,0,0.0,0.4043321299638991,0.5415162454873644,0.05415162454873653,1,1.0
2025-11-28T20:51:22.506895,2,363.79999999999995,230.2,367,231,320,240,CENTER,190.03158218545212,2.2834234469132797,nan,0.0,44.88295890424334,44.88295890424334,3.2984845004941756,1,0,0,0,25.058404882868363,6.264601220717091,25.058404882868363,6.264601220717091,0.9786646912798358,0.020062993728900826,0.001272314991263447,0,0.0,0.27603092783505173,0.6043814432989688,0.11958762886597944,1,1.0
2025-11-28T20:51:22.796724,3,368.71999999999997,230.68,372,231,320,240,CENTER,190.03158218545212,2.2834234469132797,nan,0.0,49.60343536490186,49.60343536490186,3.2955727878473855,1,0,0,0,15.518297240059612,0.0,15.518297240059612,0.0,0.9859670788342523,0.013128322354608746,0.0009045988111389293,0,0.0,0.22827603390654636,0.6031034453439886,0.16862052074946499,1,1.0
2025-11-28T20:51:23.151629,4,371.88800000000003,230.872,374,231,320,240,CENTER,190.03158218545212,2.2834234469132797,nan,0.0,52.68476941204169,52.68476941204169,2.1158752326164825,1,0,0,0,6.910096180776366,0.0,6.910096180776366,0.0,0.9877365210867468,0.011429926205618219,0.0008335527076348918,0,0.0,0.2079001806291127,0.5905785232903281,0.20152129608055924,1,1.0
2025-11-28T20:51:23.440885,5,373.75520000000006,231.5488,375,232,320,240,CENTER,190.03158218545212,2.2834234469132797,nan,0.0,54.415478574391,54.415478574391,1.3240500292662107,1,0,0,0,2.8097418761873882,2.8097418761873882,2.8097418761873882,2.8097418761873882,0.9881652197620115,0.01101732140711256,0.000817458830875907,0,0.0,0.1974416653950669,0.5794880509596045,0.22307028364532844,1,1.0
2025-11-28T20:51:23.740067,6,374.50208000000003,231.21952,375,231,320,240,CENTER,190.03158218545212,2.2834234469132797,nan,0.0,55.20483269929186,55.20483269929186,0.5441629873484232,1,0,0,0,0.0,-3.4630698706685865,0.0,-3.4630698706685865,0.9882690909296898,0.010917280804447932,0.000813628265862194,0,0.0,0.19133997987522383,0.571545903695874,0.23711411642890226,1,1.0
2025-11-28T20:51:24.006713,7,374.200832,231.087808,374,231,320,240,CENTER,190.03158218545212,2.2834234469132797,nan,0.0,54.928656962801185,54.928656962801185,0.21918881606504398,1,0,0,0,-3.348130882153377,0.0,-3.348130882153377,0.0,0.9882942591879167,0.010893036469348912,0.0008127043427344537,0,0.0,0.18754424058177063,0.5661995247524136,0.24625623466581578,1,1.0
2025-11-28T20:51:24.291618,8,372.8803328,231.6351232,372,232,320,240,CENTER,190.03158218545212,2.2834234469132797,nan,0.0,53.53784419378442,53.53784419378442,0.9529537858333461,1,0,0,0,-7.500510101439103,3.7502550507195513,-7.500510101439103,3.7502550507195513,0.9883003576048378,0.010887161664449748,0.0008124807307124966,0,0.0,0.18511788746469152,0.5626773561148533,0.25220475642045526,1,1.0
2025-11-28T20:51:24.579320,9,371.75213312,231.25404928,371,231,320,240,CENTER,190.03158218545212,2.2834234469132797,nan,0.0,52.48594989582325,52.48594989582325,0.7938798818898544,1,0,0,0,-3.4976638066400763,-3.4976638066400763,-3.4976638066400763,-3.4976638066400763,0.9883018352936821,0.01088573814238761,0.0008124265639303044,0,0.0,0.18355031457568957,0.5603756109524898,0.2560740744718207,1,1.0
2025-11-28T20:51:24.876523,10,370.100853248,231.701619712,369,232,320,240,CENTER,190.03158218545212,2.2834234469132797,nan,0.0,50.78344820492107,50.78344820492107,1.140573833602701,1,0,0,0,-6.962107071570552,3.481053535785276,-6.962107071570552,3.481053535785276,0.9883021933484644,0.010885393211631135,0.0008124134399045035,0,0.0,0.18253353737948835,0.5588761339479899,0.2585903286725218,1,1.0
2025-11-28T20:51:25.176819,11,370.0403412992,231.8806478848,370,232,320,240,CENTER,190.03158218545212,2.2834234469132797,nan,0.0,50.694769317070815,50.694769317070815,0.12598550640394743,1,0,0,0,3.3597006126163076,0.0,3.3597006126163076,0.0,0.9883022801077849,0.010885309632298886,0.0008124102599162524,0,0.0,0.1818730832558906,0.5579005377854661,0.26022637895864337,1,1.0
2025-11-28T20:51:25.461513,12,369.41613651968,231.95225915392,369,232,320,240,CENTER,190.03158218545212,2.2834234469132797,nan,0.0,50.06716170562611,50.06716170562611,0.4188660781154284,1,0,0,0,-3.330187061326897,0.0,-3.330187061326897,0.0,0.9883023011302119,0.010885289380402738,0.0008124094893851993,0,0.0,0.18144387438108045,0.5572661335025854,0.2612899921163342,1,1.0
2025-11-28T20:51:25.762938,13,367.966454607872,231.980903661568,367,232,320,240,CENTER,190.03158218545212,2.2834234469132797,nan,0.0,48.63215678678149,48.63215678678149,0.9666432533352178,1,0,0,0,-7.025046478519387,0.0,-7.025046478519387,0.0,0.9883023062241022,0.010885284473217613,0.0008124093026800262,0,0.0,0.18116490461893744,0.5568536973677588,0.26198139801330383,1,1.0
