timestamp,loop_idx,est_x,est_y,meas_x,meas_y,goal_x,goal_y,goal_label,calibration_offset_deg,px_per_speed_per_sec,last_command_heading_deg,last_command_speed,dist_to_goal,dist_to_center,prediction_error_px,ball_found,target_found,safety_active,stuck_frames,meas_vx,meas_vy,est_vx,est_vy,calib_belief_ok,calib_belief_drift,calib_belief_bad,calib_obs,calib_action
2025-11-28T18:38:45.806099,1,322.0,301.0,322,301,320,240,CENTER,184.5222877432307,3.3694569588156145,173.59983480948395,5.0,61.032778078668514,61.032778078668514,0.0,1,0,0,1,0.0,0.0,0.0,0.0,0.9486166007905138,0.04743083003952574,0.003952569169960489,0,0.0
2025-11-28T18:38:46.348445,2,328.0,301.6,332,302,320,240,CENTER,184.5222877432307,3.3694569588156145,168.0781175968822,5.0,62.11730837697334,62.11730837697334,4.019950248448354,1,0,0,0,21.8549973399696,2.18549973399696,21.8549973399696,2.18549973399696,0.9786646912798358,0.020062993728900826,0.001272314991263447,0,0.0
2025-11-28T18:38:46.796071,3,330.4,301.24,332,301,621,97,PERSON,184.5222877432307,3.3694569588156145,230.37732962559863,30.0,355.1933805689515,62.11680609947682,1.6178998732925587,1,1,0,0,0.0,-1.930513901086054,0.0,-1.930513901086054,0.9859670788342523,0.013128322354608746,0.0009045988111389293,0,0.0
2025-11-28T18:38:47.261458,4,335.56,301.696,339,302,320,240,CENTER,187.33283051715094,3.3694569588156145,158.51211689643262,5.0,63.62790281000941,63.62790281000941,3.453406434232723,1,0,0,0,15.57146001424549,2.224494287749356,15.57146001424549,2.224494287749356,0.9877365210867468,0.011429926205618219,0.0008335527076348918,0,0.0
2025-11-28T18:38:47.695584,5,334.624,300.6784,334,300,320,240,CENTER,187.33283051715094,3.3694569588156145,159.1168220191257,5.0,62.41578007651592,62.41578007651592,0.9217388784249279,1,0,0,1,-10.788046455712285,-4.315218582284914,-10.788046455712285,-4.315218582284914,0.9881652197620115,0.01101732140711256,0.000817458830875907,0,0.0
2025-11-28T18:38:48.134055,6,334.8496,300.87136,335,301,320,240,CENTER,187.33283051715094,3.3694569588156145,158.9576082832634,5.0,62.65646884727544,62.65646884727544,0.197910104845614,1,0,0,2,2.295386137616868,2.295386137616868,2.295386137616868,2.295386137616868,0.9882690909296898,0.010917280804447932,0.000813628265862194,0,0.0
2025-11-28T18:38:48.580642,7,337.93984,301.548544,340,302,320,240,CENTER,187.33283051715094,3.3694569588156145,156.41710478051849,5.0,64.10975844398055,64.10975844398055,2.1090452213112907,1,0,0,0,11.443288618436274,2.2886577236872547,11.443288618436274,2.2886577236872547,0.9882942591879167,0.010893036469348912,0.0008127043427344537,0,0.0
2025-11-28T18:38:49.015898,8,341.575936,302.4194176,344,303,320,240,CENTER,187.33283051715094,3.3694569588156145,153.5989161143253,5.0,66.04320334295788,66.04320334295788,2.49262155155686,1,0,0,0,8.936771702700227,2.234192925675057,8.936771702700227,2.234192925675057,0.9883003576048378,0.010887161664449748,0.0008124807307124966,0,0.0
2025-11-28T18:38:49.451546,9,340.63037440000005,287.16776704,340,277,320,240,CENTER,188.41927312900415,3.3694569588156145,147.95698116603356,5.0,51.48213860577169,51.48213860577169,10.187289063528423,1,0,0,0,-9.232388278093982,-60.01052380761089,-9.232388278093982,-60.01052380761089,0.8857386114664005,0.10060922875768064,0.013652159775919012,1,0.0
2025-11-28T18:38:49.889619,10,342.05214976,278.667106816,343,273,320,240,CENTER,190.7375923434034,3.3694569588156145,139.56596151630575,5.0,44.51339639431508,44.51339639431508,5.745826288831022,1,0,0,0,6.870535663096234,-9.160714217461646,6.870535663096234,-9.160714217461646,0.96290713746733,0.03474536475606617,0.002347497776603891,0,0.0
2025-11-28T18:38:50.216286,11,337.220859904,264.4668427264,334,255,320,240,CENTER,191.5010711361741,3.3694569588156145,139.56596151630575,0.0,29.919632498270886,29.919632498270886,9.99975248331614,1,0,0,0,-20.544435428173976,-41.08887085634795,-20.544435428173976,-41.08887085634795,0.982127069290973,0.01679636139590333,0.0010765693131236655,0,0.0
2025-11-28T18:38:50.535229,12,335.8883439616,254.58673709055998,335,248,320,240,CENTER,192.98870511834676,3.3694569588156145,139.56596151630575,0.0,21.568782366912366,21.568782366912366,6.646371979830029,1,0,0,0,3.0612698605011683,-21.428889023508177,3.0612698605011683,-21.428889023508177,0.9868050897292917,0.012325290663591938,0.0008696196071164492,0,0.0
2025-11-28T18:38:50.861669,13,329.35533758464,242.834694836224,325,235,320,240,CENTER,192.87498865806742,3.3694569588156145,139.56596151630575,0.0,9.775368849158198,9.775368849158198,8.963894725672134,1,0,0,0,-31.261372792055386,-40.639784629672,-31.261372792055386,-40.639784629672,0.987939484998371,0.011234663861627999,0.0008258511400009129,0,0.0
2025-11-28T18:38:51.220546,14,321.342135033856,235.7338779344896,316,231,320,240,CENTER,191.41230202893365,3.3694569588156145,139.56596151630575,0.0,4.472261612086016,4.472261612086016,7.13778726347312,1,0,0,0,-27.64814850079761,-12.288066000354494,-27.64814850079761,-12.288066000354494,0.9882143920896365,0.010969967501620348,0.0008156404087431976,0,0.0
2025-11-28T18:38:51.869690,15,316.3368540135424,231.09355117379584,313,228,320,240,CENTER,190.14214564968466,3.3694569588156145,139.56596151630575,0.0,9.63034107453593,9.63034107453593,4.550236650174101,1,0,0,0,-8.33647722906094,-8.33647722906094,-8.33647722906094,-8.33647722906094,0.9882810052070897,0.010905804208216205,0.0008131905846939189,0,0.0
